date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,131.5,134.699997,131.5,134.149994,128.415146,7134099,133.49,5993.25,1462.420044,13412.549805,3112.26001,,3.199996999999996,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,131.4112770895809,Tuesday,3,,,,17.187609863384388,82.8123901366156,60.93746337887186,60.93746337887186,53.64582112629061,53.64582112629061,75.52074788403436,75.52074788403436,134.149994,134.149994,0.0,0.0,0.0
2013-01-02,136.449997,137.100006,134.5,135.0,129.22882099999998,6934542,136.12,5993.25,1462.420044,13412.549805,3112.26001,2.300003000000004,2.6000060000000076,,,,,,,0,0,0,0,0,0,0,0,0.006336285285226229,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,131.06805460780285,Wednesday,4,134.149994,2.950012000000015,2.950012000000015,37.50006696421405,62.49993303578595,61.45828659784322,61.45828659784322,56.249976283474815,56.249976283474815,71.87490722658002,71.87490722658002,134.61041391666666,134.59134326923078,0.019070647435881938,0.010594804131045521,0.016951686609672834
2013-01-03,135.649994,136.0,133.100006,134.399994,128.65448,4968022,134.52,5993.25,1462.420044,13412.549805,3112.26001,0.6499939999999924,2.8999939999999924,,,,,,,0,0,0,0,0,0,0,0,-0.004444372358701432,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-03,130.64501149365782,Thursday,2,135.0,2.8999939999999924,2.924076740740744,48.214448341662695,51.785551658337305,58.234041618007915,58.234041618007915,56.911331394985844,56.911331394985844,60.87946206405205,60.87946206405205,134.52828697459586,134.5225933346476,0.005693639948248119,0.00858613028563675,-0.0057849806747772604
2013-01-04,133.050003,133.800003,130.800003,132.550003,126.883568,5798690,132.2,6009.5,1459.369995,13391.360352,3100.570068,-1.3499909999999886,3.0,,,,,,,0,0,0,0,0,0,0,0,-0.013764868506716654,0.0027113836399281777,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,0.0,-5.08,2013-01-04,129.7511313077134,Friday,0,134.399994,3.5999909999999886,3.1662690530164515,72.22223544972917,27.777764550270835,48.081949262095556,48.081949262095556,53.968204017355745,53.968204017355745,36.309439751575184,36.309439751575184,133.90382003606322,133.97114327844847,-0.06732324238524257,-0.017128426852194994,-0.10038963106609514
2013-01-07,133.0,136.0,132.25,134.399994,128.65448,5957987,134.55,6016.149902,1466.469971,13435.209961000002,3101.659912,0.4499969999999962,3.75,,,,,,,0,0,0,0,0,0,0,0,0.013956984563990193,0.0011065649388468657,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,1.0,12.61,2013-01-07,127.73887801096824,Monday,1,132.550003,3.75,3.3288015460172486,42.857312925089296,57.142687074910704,51.1021951997006,51.1021951997006,53.012867744804026,53.012867744804026,47.28085010949377,47.28085010949377,134.03862872875067,134.0705955296135,-0.03196680086284687,-0.021542507650223273,-0.020848586425247187
2013-01-08,134.100006,134.100006,131.25,133.0,127.31433100000001,4031319,132.61,5988.399902,1461.890015,13384.290039,3098.810059,-0.2999879999999848,2.8500060000000076,,,,,,,0,0,0,0,0,0,0,0,-0.010416652416612271,-0.004612584535298003,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,0.0,2.26,2013-01-08,126.78076539045757,Tuesday,3,134.399994,3.1499939999999924,3.2875535460184566,65.07942932725595,34.92057067274404,45.70832035738175,45.70832035738175,50.57801861566326,50.57801861566326,35.96892384081873,35.96892384081873,133.78618730560987,133.85616378379555,-0.06997647818567998,-0.03467080654200072,-0.07061134328735852
2013-01-09,134.050003,135.0,131.449997,132.050003,126.40493799999999,7741914,133.58,6001.700195,1457.150024,13328.849609,3091.810059,1.0500030000000038,3.550003000000004,,,,,,,0,0,0,0,0,0,0,0,-0.007142895798588622,0.0022210094879533404,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,0.0,-3.22,2013-01-09,126.35572042689637,Wednesday,4,133.0,3.550003000000004,3.3397791741111833,80.1587396069494,19.841260393050593,37.08596703593803,37.08596703593803,46.08066808908818,46.08066808908818,19.096564929637736,19.096564929637736,133.3987638522584,133.53494745128683,-0.13618359902841348,-0.06036098620543667,-0.15164522564595362
2013-01-10,133.100006,133.649994,129.0,130.050003,124.49043300000001,10305042,130.95,5971.5,1461.02002,13390.509766,3105.810059,1.0500030000000038,4.649993999999992,,,,,,,0,0,0,0,0,0,0,0,-0.015145808623393986,-0.005031939953475173,0.002655866545145713,0.00462606742583116,0.004528091872670892,0.0,3.01,2013-01-10,125.87728091599361,Thursday,2,132.050003,4.649993999999992,3.571006472956101,87.03700960221508,12.962990397784926,29.04497482322033,29.04497482322033,40.402103667132224,40.402103667132224,6.33071713539654,6.33071713539654,132.69992907719853,132.97343654909565,-0.2735074718971191,-0.1115840949376998,-0.3238467539188386
2013-01-11,129.25,130.75,126.5,127.050003,121.618698,6063225,128.6,5968.649902,1472.119995,13471.219727000002,3121.76001,-0.8000030000000038,4.25,,,,,,,0,0,0,0,0,0,0,0,-0.023067917194890097,-0.00047728342962405357,0.007597414715782014,0.006027400181950693,0.005135520426878815,0.0,48.33,2013-01-11,124.96932272106616,Friday,0,130.050003,4.25,3.6794439898901405,94.81129538983276,5.188704610167234,21.09288475220263,21.09288475220263,33.96569736215569,33.96569736215569,-4.652740467703488,-4.652740467703488,131.58217260145614,132.09545366035596,-0.5132810588998211,-0.2043780864418643,-0.6178059449159137
2013-01-14,126.550003,128.800003,125.400002,128.25,122.76738700000001,7377731,127.82,5951.299805,1472.050049,13488.429688,3125.6298829999996,-0.5,3.400001000000003,,,,,,,0,0,0,0,0,0,0,0,0.009445003267507524,-0.002906871283267387,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,1.0,-3.25,2013-01-14,123.02751856985589,Monday,1,127.050003,3.400001000000003,3.638435988893228,75.64105106288854,24.358948937111453,22.1815728138389,22.1815728138389,30.037655846050093,30.037655846050093,6.469406749416521,6.469406749416521,130.9507271885104,131.56481848182713,-0.6140912933167328,-0.29617762860085384,-0.635827329431758
