date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,615.150024,621.25,612.0,614.700012,599.083557,245907,615.7,5993.25,1462.420044,13412.549805,3112.26001,,9.25,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,597.6563189338476,Tuesday,3,,,,70.81068108108092,29.18931891891908,43.06310630630635,43.06310630630635,47.68770210210211,47.68770210210211,33.813914714714855,33.813914714714855,614.700012,614.700012,0.0,0.0,0.0
2013-01-02,616.549988,619.900024,614.0,614.900024,599.278503,381107,616.25,5993.25,1462.420044,13412.549805,3112.26001,1.8499759999999696,5.90002400000003,,,,,,,0,0,0,0,0,0,0,0,0.0003254070283220667,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,597.6881128146189,Wednesday,4,614.700012,5.90002400000003,5.90002400000003,68.64838918918886,31.351610810811138,39.159274474474614,39.159274474474614,44.84489289289294,44.84489289289294,27.788037637637956,27.788037637637956,614.8083518333333,614.8038643846154,0.004487448717895859,0.0024930270654976994,0.003988843304796319
2013-01-03,618.700012,618.700012,606.299988,608.849976,593.382141,475306,609.67,5993.25,1462.420044,13412.549805,3112.26001,3.799987999999985,12.40002400000003,,,,,,,0,0,0,0,0,0,0,0,-0.00983910147032252,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-03,596.5040683511309,Thursday,2,614.900024,12.40002400000003,9.2703943703704,82.94323777131429,17.056762228685717,31.79177039254498,31.79177039254498,40.49385205944362,40.49385205944362,14.387607058747705,14.387607058747705,612.482796369515,612.6646900956137,-0.1818937260986786,-0.07307531439523028,-0.21763682340689663
2013-01-04,608.0,610.950012,602.75,604.5,589.1427610000001,522833,605.92,6009.5,1459.369995,13391.360352,3100.570068,-0.8499759999999696,8.200012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.0071444347699031185,0.0027113836399281777,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,0.0,-2.63,2013-01-04,595.6338664172432,Friday,0,608.849976,8.200012000000015,8.886856994515565,90.54054054054053,9.45945945945946,24.347666748183137,24.347666748183137,35.11179028902346,35.11179028902346,2.8194196665024833,2.8194196665024833,609.9629395270115,610.3821995384047,-0.41926001139324853,-0.19034655321569713,-0.4578269163551028
2013-01-07,609.599976,609.599976,597.5,598.799988,583.587463,687589,601.43,6016.149902,1466.469971,13435.209961000002,3101.659912,5.09997599999997,12.09997599999997,,,,,,,0,0,0,0,0,0,0,0,-0.009429459831723386,0.0011065649388468657,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,0.0,-8.52,2013-01-07,593.1019262046827,Monday,1,604.5,12.09997599999997,9.781509308168454,94.52636631578953,5.473633684210463,18.05632239352558,18.05632239352558,29.4266343238575,29.4266343238575,-4.684301467138255,-4.684301467138255,606.9300054932506,607.6962369106715,-0.7662314174208404,-0.3616592805494499,-0.8091442737427811
2013-01-08,595.099976,605.0,595.099976,597.950012,582.759094,633775,599.88,5988.399902,1461.890015,13384.290039,3098.810059,-3.700012000000015,9.90002400000003,,,,,,,0,0,0,0,0,0,0,0,-0.0014194427614013794,-0.004612584535298003,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,0.0,0.31,2013-01-08,591.2058104646981,Tuesday,3,598.799988,9.90002400000003,9.808848724862054,89.10121076753107,10.898789232468935,15.670478006506698,15.670478006506698,24.841248884740562,24.841248884740562,-2.6710637499610286,-2.6710637499610286,604.7473946386884,605.7441457941653,-0.9967511554768862,-0.5338044890799589,-0.9258933327938546
2013-01-09,598.75,602.0,590.25,592.299988,577.252563,546608,596.66,6001.700195,1457.150024,13328.849609,3091.810059,0.7999879999999848,11.75,,,,,,,0,0,0,0,0,0,0,0,-0.00944906918947197,0.0022210094879533404,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,0.0,-4.25,2013-01-09,591.3494576457795,Wednesday,4,597.950012,11.75,10.195124417301502,93.38713548387102,6.612864516128983,12.651273509714127,12.651273509714127,20.77792375973175,20.77792375973175,-3.6020269903211215,-3.6020269903211215,601.9697993974178,603.3531720231396,-1.3833726257217904,-0.7488075200484987,-1.2691302113465834
2013-01-10,597.900024,597.900024,581.200012,585.049988,570.1867679999999,1225001,585.67,5971.5,1461.02002,13390.509766,3105.810059,5.6000360000000455,16.700012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.012240387402143282,-0.005031939953475173,0.002655866545145713,0.00462606742583116,0.004528091872670892,0.0,2.43,2013-01-10,590.3343477444513,Thursday,2,592.299988,16.700012000000015,11.343109889086163,90.3870732745289,9.612926725471107,11.638491248299786,11.638491248299786,17.731446255921092,17.731446255921092,-0.5474187669428261,-0.5474187669428261,598.4388955456257,600.4040755547555,-1.965180009129881,-1.0411247030644817,-1.8481106121307986
2013-01-11,589.349976,591.25,584.5,587.700012,572.7694700000001,612721,587.29,5968.649902,1472.119995,13471.219727000002,3121.76001,4.299987999999985,6.75,,,,,,,0,0,0,0,0,0,0,0,0.004529571966496615,-0.00047728342962405357,0.007597414715782014,0.006027400181950693,0.005135520426878815,1.0,-9.49,2013-01-11,589.6716257837553,Friday,0,585.049988,6.75,10.609575014982008,83.77028227823689,16.22971772176312,13.168900072787563,13.168900072787563,16.210597528209917,16.210597528209917,7.085505161942855,7.085505161942855,596.3143621514971,598.5210544444335,-2.2066922929363955,-1.3103765987355247,-1.7926313884017415
2013-01-14,588.0,589.700012,576.0,579.099976,564.387939,1300998,579.22,5951.299805,1472.050049,13488.429688,3125.6298829999996,0.2999879999999848,13.700012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.014633341054299032,-0.002906871283267387,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,0.0,5.03,2013-01-14,587.9815168413159,Monday,1,587.700012,13.700012000000015,11.063093791789893,93.14922430939234,7.061444886681537,11.133081677418886,11.133081677418886,14.518092244612905,14.518092244612905,4.363060543030848,4.363060543030848,593.0522426660632,595.8411346383967,-2.788891972333545,-1.6416498701211315,-2.2944842044248266
2013-01-15,577.5,587.099976,570.799988,583.150024,568.335083,1026273,581.64,6024.049805,1470.680054,13507.320313,3117.5,-1.5999759999999696,16.299987999999985,,,,,,,0,0,0,0,0,0,0,0,0.006993671776533317,0.012224220318875378,-0.0009306714815373596,0.0014005058733268516,-0.002601038288063906,1.0,0.57,2013-01-15,586.4349615983216,Tuesday,3,579.099976,16.299987999999985,11.777773173379789,74.84719563138398,25.78294324027904,16.016368865038935,16.016368865038935,15.017517784754915,15.017517784754915,18.014071025606974,18.014071025606974,591.2403754095296,594.195093568047,-2.9547181585173803,-1.928941708833968,-2.0515528993668246
2013-01-16,585.5,590.900024,578.049988,579.900024,565.167664,840202,585.43,6056.600098,1472.339966,13534.889647999998,3110.780029,2.3499759999999696,12.850036000000046,,,,,,,0,0,0,0,0,0,0,0,-0.0055731541035275445,0.005403390419014054,0.001128669689566708,0.002041066204187425,-0.0021555640737770387,0.0,-1.03,2013-01-16,586.9344369966952,Wednesday,4,583.150024,12.850036000000046,11.915168565338897,81.0020220449158,22.665082342167565,18.232606690748476,18.232606690748476,16.08921408675277,16.08921408675277,22.51939189873989,22.51939189873989,589.2240981576964,592.4387190326132,-3.214620874916818,-2.2050516744062607,-2.019138401021115
2013-01-17,578.150024,588.450012,578.150024,586.549988,571.648682,870551,583.32,6001.850098,1472.630005,13511.230469,3117.540039,-1.75,10.299987999999985,,,,,,,0,0,0,0,0,0,0,0,0.011467425355035976,-0.009039725112126806,0.00019699186784150058,-0.0017480141778247749,0.0021730916159228286,1.0,-1.27,2013-01-17,586.3021851838545,Thursday,2,579.900024,10.299987999999985,11.719312391134878,60.77212805651128,40.59279605962766,25.686003147041536,25.686003147041536,19.28814377351569,19.28814377351569,38.48172189409323,38.48172189409323,588.7597710462578,591.748855254314,-2.9890842080561697,-2.3709801982008347,-1.23620801971067
2013-01-18,588.299988,593.700012,583.049988,588.349976,573.402954,596941,589.88,6039.200195,1480.939941,13596.019531,3136.0,1.75,10.65002400000003,,,,,,,0,0,0,0,0,0,0,0,0.003068793920528945,0.006223097276695899,0.005642921828147962,0.006275450795879767,0.005921322827956876,1.0,0.49,2013-01-18,586.0328182110081,Friday,0,586.549988,10.65002400000003,11.595805375568675,54.76805817568812,51.31573638044331,34.22924755817546,34.22924755817546,24.268511701735612,24.268511701735612,54.15071927105515,54.15071927105515,588.6899960339016,591.3671206647862,-2.6771246308845775,-2.4350258419374557,-0.48419757789424356
