Date_index,Date,Open,High,Low,Close,Adj Close,Volume,NSE,NASDAQ,DJ,SPY,pcod,hld,rsi,stma,ltma,bbsd,bbul,bbll,vwap,price_movmnt,dr,dr_nse,beta,scul,scll,stcltb,stclta,dr_dowjones,dr_nasdaq,dr_spy,ds,TS_close_pr,pr_cut_stma_b,pr_cut_stma_a
2015-01-01,2015-01-01,751.099976,754.5,747.0,749.150024,731.869751,284935,8395.450195,4726.810059,17832.990234,2058.199951,,7.5,,,,,,,749.15,,,,,0,0,0,0,,,,2015-01-01,790.7285358177197,0,0
2015-01-02,2015-01-02,751.25,781.450012,751.25,775.049988,757.172302,2080850,8395.450195,4726.810059,17832.990234,2058.199951,2.0999759999999696,30.200012000000015,,,,,,,775.05,1.0,3.46,0.0,,0,0,0,0,0.0,0.0,0.0,2015-01-02,791.9761595328237,0,0
2015-01-05,2015-01-05,779.900024,787.900024,772.700012,775.0,757.123535,1326999,8378.400391,4652.569824,17501.650391,2020.5799559999998,4.8500360000000455,15.200012000000015,,,,,,,775.0,0.0,-0.01,-0.2,0.05,0,0,0,0,-1.86,-1.57,-1.83,2015-01-05,797.0205967365431,0,0
2015-01-06,2015-01-06,775.0,783.0,750.400024,756.5,739.050232,1510720,8127.350098000001,4592.740234000001,17371.640625,2002.609985,0.0,32.59997599999997,,,,,,,756.5,0.0,-2.39,-3.0,0.7967,0,0,0,0,-0.74,-1.29,-0.89,2015-01-06,800.2570198709069,0,0
2015-01-07,2015-01-07,763.400024,778.349976,759.25,771.700012,753.899658,1427667,8102.100098000001,4650.470215,17584.519531,2025.9000239999998,6.90002400000003,19.09997599999997,,,,,,,771.7,1.0,2.01,-0.31,-6.4839,0,0,0,0,1.23,1.26,1.16,2015-01-07,804.0384776748017,0,0
2015-01-08,2015-01-08,783.799988,822.900024,778.099976,820.349976,801.427429,2769416,8234.599609,4736.189941,17907.869141,2062.139893,12.09997599999997,44.80004800000006,,,,,,,820.35,1.0,6.3,1.64,3.8415,0,0,0,0,1.84,1.84,1.79,2015-01-08,807.1547711136419,0,0
2015-01-09,2015-01-09,828.450012,829.0,804.049988,812.5,793.758545,1708427,8284.5,4704.069824,17737.369141,2044.810059,8.100036000000046,24.950012000000015,,,,,,,812.5,0.0,-0.96,0.61,-1.5738,0,0,0,0,-0.95,-0.68,-0.84,2015-01-09,809.054434144799,0,0
2015-01-12,2015-01-12,813.049988,818.400024,800.200012,807.75,789.118042,1320557,8323.0,4664.709961,17640.839844,2028.2600100000002,0.5499879999999848,18.200012000000015,,,,,,,807.75,0.0,-0.58,0.46,-1.2609,0,0,0,0,-0.54,-0.84,-0.81,2015-01-12,815.214681564044,0,0
2015-01-13,2015-01-13,813.0,842.4500119999999,812.099976,833.849976,814.616028,3835281,8299.400391,4661.5,17613.679688,2023.030029,5.25,30.350035999999932,,,,,,,833.85,1.0,3.23,-0.28,-11.5357,0,0,0,0,-0.15,-0.07,-0.26,2015-01-13,818.5558025411354,0,0
2015-01-14,2015-01-14,840.0,850.0,830.200012,842.650024,823.213074,2320114,8277.549805,4639.319824,17427.089844,2011.27002,6.15002400000003,19.799987999999985,,,,,,,842.65,1.0,1.06,-0.26,-4.0769,0,0,0,0,-1.06,-0.48,-0.58,2015-01-14,822.2992061140416,0,0
2015-01-15,2015-01-15,849.0,850.0,833.0,839.349976,819.989197,1308063,8494.150391,4570.819824,17320.710938,1992.6700440000002,6.34997599999997,17.0,,,,,,,839.35,0.0,-0.39,2.62,-0.1489,0,0,0,0,-0.61,-1.48,-0.92,2015-01-15,825.2064127528051,0,0
2015-01-16,2015-01-16,844.900024,859.0,840.0,843.4500119999999,823.994629,1568660,8513.799805,4634.379883,17511.570313,2019.4200440000002,5.550048000000061,19.0,,,,,,,843.45,1.0,0.49,0.23,2.1304,0,0,0,0,1.1,1.39,1.34,2015-01-16,826.7155502859828,0,0
